label,message
spam,FREE entry to win £1000 cash! Text WIN to 80085 now!
spam,Congratulations! You've won a $500 Walmart gift card. Click here to claim.
spam,URGENT: Your account has been compromised. Verify your identity NOW.
spam,Get rich quick! Earn $5000 per week from home. No experience needed!
spam,You have won a FREE iPhone 15! Call 1-800-CLAIM to receive.
spam,LIMITED TIME OFFER: Buy one get one FREE! Reply YES to claim.
spam,"Your loan application has been approved! Get $10,000 today!"
spam,Hot singles in your area want to meet you! Click the link!
spam,Make money fast! Invest $100 and get $1000 back in 24 hours!
spam,WINNER! You've been selected for a special prize. Call NOW!
spam,Free trial! No credit card required. Cancel anytime!
spam,Discount pharmacy online! Best prices on all medications!
spam,Double your income! Secret method revealed! Order now!
spam,You are a WINNER! Claim your prize at www.freecash.com
spam,Act NOW! Limited supply! 90% off designer watches!
spam,"Hello Dear, I am a prince and I need your help to transfer $15 million."
spam,Your Amazon order has a problem. Click here to fix payment info.
spam,Bank alert: Your account will be closed. Verify at secure-bank.com
spam,"Hey, check out this amazing deal! You won't believe the price!"
spam,FREE membership! Join now and get exclusive access to premium content!
spam,Congratulations! You've been pre-approved for a credit card with 0% APR!
spam,Win a trip to Hawaii! Just text HAWAII to 55555!
spam,URGENT: Your package delivery failed. Reschedule at pkg-delivery.com
spam,Get 1000 Instagram followers FREE! No survey needed!
spam,Your PayPal account is limited. Login immediately to restore access.
ham,"Hey, are we still meeting for lunch tomorrow?"
ham,Please review the attached document and let me know your thoughts.
ham,Happy birthday! Hope you have an amazing day!
ham,The meeting has been rescheduled to 3 PM on Thursday.
ham,Can you pick up some groceries on your way home?
ham,Thanks for helping me with the project yesterday.
ham,I'll be working from home today. Call me if you need anything.
ham,The movie starts at 8. Want me to save you a seat?
ham,Mom called. She wants us to visit this weekend.
ham,Don't forget about the dentist appointment on Monday.
ham,Great job on the presentation today! The client was impressed.
ham,I'm running late. Traffic is terrible right now.
ham,Can you send me the files we discussed earlier?
ham,The kids have soccer practice at 4 PM today.
ham,Let me know when you're free for a coffee catch-up.
ham,I finished reading that book you recommended. It was great!
ham,Do you want to go for a run this evening?
ham,The plumber is coming between 10 and 12 tomorrow.
ham,Thanks for the recipe! I'll try cooking it this weekend.
ham,Meeting notes from today's standup are in the shared drive.
ham,Can you help me move some furniture this Saturday?
ham,I just got home. Want me to make dinner tonight?
ham,The concert tickets go on sale Friday at noon.
ham,Your package has been delivered to your doorstep.
ham,Reminder: Team outing this Friday at 5 PM.
